Avg_Hosp,Facility ID,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation
734.0,360089,35,3,4,902.0,855.0,0.047,0.041100000000000005,0.0395
662.0,330047,34,3,1,750.0,825.0,0.0347,0.035,0.0381
6.0,260070,24,2,6,23.0,19.0,0.0004,0.0011,0.0009
749.0,40027,3,3,7,1036.0,1174.0,0.037599999999999995,0.048499999999999995,0.0542
76.0,110086,11,3,6,93.0,89.0,0.0060999999999999995,0.0045000000000000005,0.0040999999999999995
0.0,180102,18,2,1,0.0,0.0,0.0,0.0,0.0
106.0,10097,2,3,6,103.0,89.0,0.008100000000000001,0.005,0.0040999999999999995
0.0,100008,10,2,4,0.0,0.0,0.0,0.0,0.0
0.0,230054,22,2,2,0.0,0.0,0.0,0.0,0.0
509.0,440007,42,2,7,1487.0,1545.0,0.026699999999999998,0.0677,0.07139999999999999
1.0,490019,45,1,5,2.0,2.0,0.0001,0.0001,0.0001
756.0,330169,34,3,1,750.0,825.0,0.0348,0.035,0.0381
0.0,440056,42,2,1,0.0,0.0,0.0,0.0,0.0
682.0,520071,48,3,4,1097.0,855.0,0.0393,0.053099999999999994,0.0395
480.0,150168,16,1,7,535.0,585.0,0.020099999999999996,0.0246,0.027000000000000003
0.0,110042,11,1,2,1.0,1.0,0.0,0.0,0.0
1944.0,60004,6,3,3,2254.0,2857.0,0.09720000000000001,0.1007,0.132
30.0,150034,16,2,6,18.0,19.0,0.0015,0.0008,0.0009
0.0,50189,5,1,5,3.0,2.0,0.0,0.0001,0.0001
0.0,280129,29,1,2,0.0,1.0,0.0,0.0,0.0
0.0,30010,4,1,2,1.0,1.0,0.0,0.0,0.0
0.0,450460,43,2,5,0.0,0.0,0.0,0.0,0.0
2.0,360055,35,1,3,11.0,7.0,0.0001,0.0005,0.0003
3611.0,70006,7,3,5,4136.0,3228.0,0.16440000000000002,0.1907,0.1491
62.0,140202,15,1,4,125.0,152.0,0.0029,0.0058,0.006999999999999999
1051.0,100213,10,3,1,1040.0,825.0,0.048799999999999996,0.0473,0.0381
4.0,40119,3,1,3,9.0,7.0,0.0002,0.0004,0.0003
0.0,150179,16,1,1,9.0,13.0,0.0,0.0004,0.0006
0.0,300005,30,2,1,0.0,0.0,0.0,0.0,0.0
14.0,390044,38,1,1,12.0,13.0,0.0007000000000000001,0.0006,0.0006
36.0,50028,5,3,6,88.0,89.0,0.0024,0.0039000000000000003,0.0040999999999999995
723.0,140064,15,3,1,774.0,825.0,0.0401,0.0355,0.0381
9.0,360040,35,1,1,12.0,13.0,0.0005,0.0005,0.0006
2.0,670006,43,1,6,8.0,8.0,0.0001,0.0003,0.0004
66.0,530006,50,3,6,90.0,89.0,0.0037,0.0046,0.0040999999999999995
2.0,150048,16,1,3,6.0,7.0,0.0001,0.0003,0.0003
2142.0,410012,39,3,3,2421.0,2857.0,0.1103,0.11710000000000001,0.132
547.0,500007,47,1,7,655.0,585.0,0.0252,0.031400000000000004,0.027000000000000003
2684.0,370041,36,3,1,920.0,825.0,0.1306,0.0425,0.0381
788.0,50739,5,3,4,769.0,855.0,0.0317,0.0345,0.0395
1736.0,50603,5,2,7,1651.0,1545.0,0.0814,0.07400000000000001,0.07139999999999999
29.0,290058,33,1,4,172.0,152.0,0.0034000000000000002,0.0075,0.006999999999999999
5.0,340069,27,1,1,11.0,13.0,0.0002,0.0005,0.0006
457.0,450292,43,3,4,837.0,855.0,0.0253,0.0358,0.0395
0.0,520194,48,1,1,8.0,13.0,0.0,0.0004,0.0006
3050.0,320033,32,3,5,2378.0,3228.0,0.2089,0.1168,0.1491
4.0,330153,34,1,6,7.0,8.0,0.0002,0.0003,0.0004
0.0,490084,45,1,5,2.0,2.0,0.0,0.0001,0.0001
1260.0,100285,10,3,1,1040.0,825.0,0.0658,0.0473,0.0381
6.0,50278,5,1,6,8.0,8.0,0.0002,0.0003,0.0004
0.0,50099,5,2,1,0.0,0.0,0.0,0.0,0.0
143.0,30002,4,3,6,86.0,89.0,0.0052,0.0039000000000000003,0.0040999999999999995
1047.0,260078,24,3,4,1018.0,855.0,0.0622,0.04769999999999999,0.0395
8634.0,140213,15,2,3,9812.0,10139.0,0.4311,0.45049999999999996,0.46840000000000004
0.0,60075,6,2,1,0.0,0.0,0.0,0.0,0.0
81.0,140053,15,3,2,124.0,149.0,0.0034000000000000002,0.005699999999999999,0.0069
2618.0,330223,34,3,5,3983.0,3228.0,0.17079999999999998,0.1858,0.1491
1127.0,150112,16,3,4,1006.0,855.0,0.06,0.0462,0.0395
0.0,450537,43,2,1,0.0,0.0,0.0,0.0,0.0
